"water_year","Long_term","Region","Season","sr_BPUE"
1999,TRUE,"Suisun Bay","Fall",9248.37435261538
1999,TRUE,"Suisun Bay","Spring",10331.3097863905
1999,TRUE,"Suisun Bay","Summer",9552.68848041511
1999,TRUE,"Suisun Marsh","Fall",10854.7002021612
1999,TRUE,"Suisun Marsh","Spring",2581.77537757201
1999,TRUE,"Suisun Marsh","Summer",28388.3060228073
2000,TRUE,"Confluence","Fall",10574.7455460084
2000,TRUE,"Confluence","Spring",2982.0162757385
2000,TRUE,"Confluence","Summer",8927.94392829442
2000,TRUE,"SouthCentral","Fall",19244.0559033256
2000,TRUE,"SouthCentral","Spring",5656.77711852841
2000,TRUE,"SouthCentral","Summer",45503.0040282956
2000,TRUE,"Suisun Bay","Fall",5850.93245696026
2000,TRUE,"Suisun Bay","Spring",21278.6983514128
2000,TRUE,"Suisun Bay","Summer",7888.46686341984
2000,TRUE,"Suisun Marsh","Fall",7301.29747046942
2000,TRUE,"Suisun Marsh","Spring",4708.40631482538
2000,TRUE,"Suisun Marsh","Summer",25376.598201794
2001,TRUE,"Confluence","Fall",8262.04672522718
2001,TRUE,"Confluence","Spring",3305.06916072878
2001,TRUE,"Confluence","Summer",8149.8545997433
2001,TRUE,"SouthCentral","Fall",6288.51585547401
2001,TRUE,"SouthCentral","Spring",11981.7000568596
2001,TRUE,"SouthCentral","Summer",12350.0947317083
2001,TRUE,"Suisun Bay","Fall",3389.39888612458
2001,TRUE,"Suisun Bay","Spring",6134.73485193033
2001,TRUE,"Suisun Bay","Summer",4044.72201234943
2001,TRUE,"Suisun Marsh","Fall",5768.63090126193
2001,TRUE,"Suisun Marsh","Spring",3026.6488693362
2001,TRUE,"Suisun Marsh","Summer",4878.12479428497
2002,TRUE,"Confluence","Fall",9434.39971628074
2002,TRUE,"Confluence","Spring",2448.33463792771
2002,TRUE,"Confluence","Summer",8378.10379370543
2002,TRUE,"SouthCentral","Fall",18365.9368181727
2002,TRUE,"SouthCentral","Spring",14032.7286452605
2002,TRUE,"SouthCentral","Summer",45403.604262663
2002,TRUE,"Suisun Bay","Fall",7321.30439102082
2002,TRUE,"Suisun Bay","Spring",8416.91883614295
2002,TRUE,"Suisun Bay","Summer",8046.2945722481
2002,TRUE,"Suisun Marsh","Fall",9982.08725529605
2002,TRUE,"Suisun Marsh","Spring",3809.62951952384
2002,TRUE,"Suisun Marsh","Summer",9301.43841453119
2003,TRUE,"Confluence","Fall",8493.80532018375
2003,TRUE,"Confluence","Spring",1692.53200508219
2003,TRUE,"Confluence","Summer",6989.60989101796
2003,TRUE,"SouthCentral","Fall",21963.7921955789
2003,TRUE,"SouthCentral","Spring",9126.11954807984
2003,TRUE,"SouthCentral","Summer",24549.0596075116
2003,TRUE,"Suisun Bay","Fall",4828.58846734545
2003,TRUE,"Suisun Bay","Spring",16621.085866412
2003,TRUE,"Suisun Bay","Summer",9338.75101000869
2003,TRUE,"Suisun Marsh","Fall",4602.1401716017
2003,TRUE,"Suisun Marsh","Spring",2113.45582871222
2003,TRUE,"Suisun Marsh","Summer",10409.3230993596
2004,TRUE,"Confluence","Fall",8640.01630512857
2004,TRUE,"Confluence","Spring",5496.04138632872
2004,TRUE,"Confluence","Summer",9576.87079793556
2004,TRUE,"SouthCentral","Fall",23007.1762636689
2004,TRUE,"SouthCentral","Spring",25371.5469751613
2004,TRUE,"SouthCentral","Summer",29355.6751940333
2004,TRUE,"Suisun Bay","Fall",4118.66722894838
2004,TRUE,"Suisun Bay","Spring",3377.54534668434
2004,TRUE,"Suisun Bay","Summer",5413.17060118171
2004,TRUE,"Suisun Marsh","Fall",5779.4594967795
2004,TRUE,"Suisun Marsh","Spring",2688.86013538022
2004,TRUE,"Suisun Marsh","Summer",6186.85881072279
2005,TRUE,"Confluence","Fall",5860.46740781727
2005,TRUE,"Confluence","Spring",1183.29962160722
2005,TRUE,"Confluence","Summer",11134.4063443514
2005,TRUE,"SouthCentral","Fall",8554.38530447582
2005,TRUE,"SouthCentral","Spring",6913.00477484701
2005,TRUE,"SouthCentral","Summer",29495.2236608235
2005,TRUE,"Suisun Bay","Fall",3780.7721987179
2005,TRUE,"Suisun Bay","Spring",5145.73265188681
2005,TRUE,"Suisun Bay","Summer",10043.9492282189
2005,TRUE,"Suisun Marsh","Fall",5274.42989777595
2005,TRUE,"Suisun Marsh","Spring",2154.81893072996
2005,TRUE,"Suisun Marsh","Summer",5215.17778603743
2006,TRUE,"Confluence","Fall",6294.30633053801
2006,TRUE,"Confluence","Spring",875.374750187991
2006,TRUE,"Confluence","Summer",12058.7461621125
2006,TRUE,"SouthCentral","Fall",959.767709276468
2006,TRUE,"SouthCentral","Spring",609.630043749202
2006,TRUE,"SouthCentral","Summer",5583.3482269711
2006,TRUE,"Suisun Bay","Fall",4776.03485606028
2006,TRUE,"Suisun Bay","Spring",15263.1126031601
2006,TRUE,"Suisun Bay","Summer",17399.6279838632
2006,TRUE,"Suisun Marsh","Fall",4560.43714452814
2006,TRUE,"Suisun Marsh","Spring",1492.64176154927
2006,TRUE,"Suisun Marsh","Summer",25214.3395838508
2007,TRUE,"Confluence","Fall",5549.2242559603
2007,TRUE,"Confluence","Spring",1520.40325071521
2007,TRUE,"Confluence","Summer",8132.22561060302
2007,TRUE,"SouthCentral","Fall",5933.96077037379
2007,TRUE,"SouthCentral","Spring",77308.29608728
2007,TRUE,"SouthCentral","Summer",20175.3029674563
2007,TRUE,"Suisun Bay","Fall",4976.59328157327
2007,TRUE,"Suisun Bay","Spring",4190.52982513894
2007,TRUE,"Suisun Bay","Summer",6102.05678549156
2007,TRUE,"Suisun Marsh","Fall",4495.23490704661
2007,TRUE,"Suisun Marsh","Spring",1739.17187601754
2007,TRUE,"Suisun Marsh","Summer",6047.3255555411
2008,TRUE,"Confluence","Fall",9206.98198967341
2008,TRUE,"Confluence","Spring",5538.4651931776
2008,TRUE,"Confluence","Summer",11383.9081768702
2008,TRUE,"SouthCentral","Fall",21584.7668703559
2008,TRUE,"SouthCentral","Spring",38166.2664379515
2008,TRUE,"SouthCentral","Summer",11635.1214194763
2008,TRUE,"Suisun Bay","Fall",5777.84952950506
2008,TRUE,"Suisun Bay","Spring",6840.22741677155
2008,TRUE,"Suisun Bay","Summer",7880.68316884025
2008,TRUE,"Suisun Marsh","Fall",4537.975930893
2008,TRUE,"Suisun Marsh","Spring",19044.2229976385
2008,TRUE,"Suisun Marsh","Summer",8360.47724566491
2009,TRUE,"Confluence","Fall",8876.42352699278
2009,TRUE,"Confluence","Spring",1103.06078911582
2009,TRUE,"Confluence","Summer",7963.84115013345
2009,TRUE,"SouthCentral","Fall",17782.7980666667
2009,TRUE,"SouthCentral","Spring",23069.6804468172
2009,TRUE,"SouthCentral","Summer",15058.7881708793
